file_name,vertices,edges,m,lambda,density,time_ms,time_s
dataset/gahuku.net,16,120,2,0.1,24.238095238095237,589.0861969965044,0.5890861969965044
dataset/gahuku.net,16,120,2,0.2,23.07142857142857,1049.9594529974274,1.0499594529974274
dataset/gahuku.net,16,120,2,0.3,24.238095238095237,1620.9171189984772,1.6209171189984772
dataset/gahuku.net,16,120,2,0.4,23.07142857142857,2415.965669999423,2.415965669999423
dataset/gahuku.net,16,120,2,0.5,23.07142857142857,3217.4866770001245,3.2174866770001245
dataset/gahuku.net,16,120,2,0.6,22.4,3740.0708540008054,3.7400708540008054
dataset/gahuku.net,16,120,2,0.7,21.3,4323.045564000495,4.323045564000495
dataset/gahuku.net,16,120,2,0.8,24.238095238095237,4905.886339998688,4.905886339998688
dataset/gahuku.net,16,120,2,0.9,22.904761904761905,5356.431681000686,5.356431681000686
dataset/gahuku.net,16,120,2,0.1,24.23809523809524,6453.980302998389,6.453980302998389
dataset/gahuku.net,16,120,2,0.2,20.25,6927.358303997607,6.927358303997607
dataset/gahuku.net,16,120,2,0.3,22.75,7469.810866001353,7.469810866001353
dataset/gahuku.net,16,120,2,0.4,20.666666666666668,7943.889768997906,7.943889768997906
dataset/gahuku.net,16,120,2,0.5,24.238095238095237,8552.50098399847,8.55250098399847
dataset/gahuku.net,16,120,2,0.6,24.238095238095237,9573.743250002735,9.573743250002735
dataset/gahuku.net,16,120,2,0.7,22.32142857142857,10173.904634000792,10.173904634000792
dataset/gahuku.net,16,120,2,0.8,23.07142857142857,10916.737478997675,10.916737478997675
dataset/gahuku.net,16,120,2,0.9,24.238095238095237,11487.398265999218,11.487398265999218
