file_name,vertices,edges,m,lambda,density,time_ms,time_s,process_id
dataset/gahuku.net,16,120,10,0.7,55.75,5863.335256000028,5.863335256000028,25476
dataset/gahuku.net,16,120,10,0.5,24.238095238095237,6831.73125400026,6.83173125400026,25475
dataset/gahuku.net,16,120,10,0.6,36.519999999999996,7587.7479740001945,7.5877479740001945,25474
dataset/gahuku.net,16,120,10,0.4,15.25,8265.061869999954,8.265061869999954,25473
dataset/gahuku.net,16,120,10,0.8,75.50000000000001,14357.278973000575,14.357278973000575,25476
dataset/gahuku.net,16,120,10,0.3,6.866666666666666,14426.465094999912,14.426465094999912,25472
dataset/gahuku.net,16,120,10,0.9,95.4666666666667,15872.373797000364,15.872373797000364,25475
dataset/gahuku.net,16,120,10,0.2,-4.3500000000000005,21778.61926100013,21.77861926100013,25471
dataset/gahuku.net,16,120,10,0.1,-5.800000000000001,22616.893094999796,22.616893094999796,25470
dataset/gahuku.net,16,120,10,0.4,16.262857142857143,23948.730828000407,23.948730828000407,25472
dataset/gahuku.net,16,120,10,0.5,24.238095238095237,25175.150056999883,25.175150056999883,25475
dataset/gahuku.net,16,120,10,0.3,6.866666666666666,29127.57172200054,29.12757172200054,25476
dataset/gahuku.net,16,120,10,0.6,36.519999999999996,29565.999948999888,29.565999948999888,25471
dataset/gahuku.net,16,120,10,0.1,-5.800000000000001,30430.504764000034,30.430504764000034,25474
dataset/gahuku.net,16,120,10,0.7,55.75,31860.62063999998,31.86062063999998,25470
dataset/gahuku.net,16,120,10,0.8,75.50000000000001,31893.953210999825,31.893953210999825,25472
dataset/gahuku.net,16,120,10,0.2,-4.3500000000000005,32103.59619600058,32.10359619600058,25473
dataset/gahuku.net,16,120,10,0.9,95.4666666666667,33316.909416999806,33.316909416999806,25475
